,Алгоритмы и структуры данных в языке Python,Практикум по программированию,Программирование на языках Python и SQL,Системы управления базами данных,Веб-разработка,Мобильная разработка,Соверменные технологии программирования,Компьютерный практикум,Алгебра и геометрия,Математика,Математический анализ,Дискретная математика,Алгебра и Анализ,Теория вероятностей и математическая статистика,Дифференциальные уравнения
Python,1,1,0.7,,0.5,,,0.6,,,,,,,
SQL,,,0.7,1,,,,,,,,,,,
JavaScript,,,,,1,0.7,,,,,,,,,
Java,,,,,,0.7,1,,,,,,,,
R,,,,,,,,0.6,,,,,,,
Лин.алгебра,,,,,,,,,1,0.8,,,1,,
Аналит.Геометр.,,,,,,,,,0.8,,,,,,
Комбинаторика,,,,,,,,,,,,1,,,
Теория Множеств,,,,,,,,,0.5,0.5,0.5,1,0.5,,
Теория графов,,,,,,,,,,,,1,,,
Интегр. Исчисл.,,,,,,,,,,0.8,1,,1,,0.8
Диф. Исчисл.,,,,,,,,,,0.8,1,,1,,0.8
Диф.Уравнения,,,,,,,,,,0.5,,,,,1
Теор.Вероят.,,,,,,,,,,,,,,1,